"Year","low_SSB","SSB","high_SSB","low_F","F","high_F","Fage","fishstock","AssessmentYear","SpeciesName","StockDescription","FLim","Blim","FMSY","MSYBtrigger"
1992,NA,2228000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1993,NA,330000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1994,NA,94000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1995,NA,118000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1996,NA,248000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1997,NA,312000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1998,NA,932000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1999,NA,1718000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2000,NA,2098000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2001,NA,2019000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2002,NA,1291000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2003,NA,280000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2004,NA,294000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2005,NA,174000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2006,NA,437000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2007,NA,844000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2008,NA,2468000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2009,NA,2323000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2010,NA,2051000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2011,NA,2115000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2012,NA,1997000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2013,NA,1471000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2014,NA,873000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2015,NA,375000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2016,NA,181000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2017,NA,1723000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2018,NA,1056000,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2019,NA,301615,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,"cap.27.1-2",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2016,150338,298000,447828,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2017,150190,355000,596320,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2018,150000,352000,614000,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2019,33200,82790,161480,NA,NA,NA,NA,"cap.27.2a514",2019,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514",2018,"Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",NA,NA,NA,NA
